お言葉,お出典
無能で十分に説明のつくことを悪意のせいにするな,ハンロンの剃刀
明日できることを今日するな,トルコ人
私たちに変えられないものを受け入れる心の平穏を与えて下さい。変えることのできるものを変える勇気を与えて下さい。そして、変えることのできるものとできないものを見分ける賢さを与えて下さい。,ニーバーの祈り
我慢よりは忍耐,Tsumetaisoul
森の中で道に迷ったとき、もし実際の地形が地図とちがうなら、いかなる場合でも実際の地形を信じること,
本質的に全てのモデルは間違っている、しかし中には役に立つものもある,ジョージ・ボックス
生まれたばかりの子供は２つのことを恐れる。まぶしい光とガントチャートだ。,ダン・ノース
ファーストペンギン🐧
ニワトリか？ブタか？
その場にとどまるためには、全力で走り続けなければならない,赤の女王
「言われた通り行動」ではなく「確かにそうやな行動」
きっかけ → 行動 → みかえり
会議において「私はこの会議に参加していいんだ」という間隔が大事,クリスタルメソッドの高柳さん
新人が一番ファシリテートに向いている,クリスタルメソッドの高柳さん
高度に発達した筋肉は魔法と区別がつかない,アーサー・C・クラーク
部屋の中の象
始めることを終わらせて、終わらせることを始めよう,Kanban
「車輪の再開発」を恐れない
「自分が思いつくことは、ほとんど誰かが先に思いついている」は正しい。しかし「思いついたことを『形』にまで持っていく人」はほとんどいない
相手の言葉で話す
リソース効率ではなくフロー効率
許可を求めるな、謝罪せよ
It is easier to ask forgiveness than it is to get permission
サーフボードユーザなんていない、サーファーがいるだけだ
シンプルさは複雑さ
怠惰・短気・傲慢
生き残る種とは、最も強いものではない。最も知的なものでもない。それは、環境に最もよく適応したものである。,ダーウィン？
科学とは真実への誠実さを保とうとする態度である, 知の欺瞞
一人で無人島に行くとして、それでもそれを持っていたいか？

人間尊重
現場・現物・現実
買う喜び・売る喜び・創る喜び

完璧なものなんてない。完璧を求めるなんてやめろ。それよりも、進化しよう。なりゆきにまかせるのさ,fight club
所有していたモノに気づいたら所有されている,fight club
自己改善なんてのはマスターベーションだ。男なら自己破壊を！,fight club
無駄は犯罪ですから,fight club
最初の石鹸はヒーローの灰でできたんだ。宇宙に打ち上げられた最初のサルと同じさ。痛みなしじゃ、犠牲なしじゃ、俺たちは何者でもない,fight club
広告が俺達に車や服を買わせようとする。俺達は嫌いな仕事をして、それを買う努力をする。,fight club
俺たちは目的も居場所も無い歴史の中継地点にいる。第一次世界大戦もなければ、世界大恐慌もない。しかし、頭の中は常にゴチャゴチャ戦争中で、毎日が大恐慌だ。,fight club
俺たちは、アメリカンドリームを映し出すテレビを観て育った。いつかはこうなれると教えられた。現実は違う。今俺たちは怒っているんだ。,fight club
金を使って必要のないモノを買っている。しかし、好きでもないやつらに気に入られる必要はない,fight club
俺達は作られたライフスタイルの中で生きる消費の奴隷だ。,fight club
お前らは仕事じゃない、車でもない、財布の中身でもない。お前らは、歌って踊る、この世のクズだ。,fight club
もしお前の気分がくそみたいだったら、お前が心底嫌っている奴らに負けたんだ,fight club
もしいまこれを読んでいるなら警告しよう。この文を読んでいる間にお前の時間は一秒一秒使われている。他にすることはないのか？いまの瞬間をより良く過ごす方法を考えられないほど、君の人生は空っぽなのか？それとも、読んで感動して感銘でも受けちゃいましたか？君は読めと言われたものをすべて読むのか？考えろと言われたことをすべて考えるのか？買えと言われたものをすべて買うのか？外へ出ろ。他人と接触しろ。過度の浪費や自慰行為なんてヤメちまえ。戦いを始めろ。生きていることを証明しろ。もし君が自分の存在を主張しないなら、君はただの統計データの１つになる。警告は以上だ,fight club
痛みを感じろ。苦しみと犠牲が尊いんだ。痛みから逃げるな。人生最高の瞬間を味わえ,fight club
「これはノン・アルコールのビールだ」「ビールだろ？」「そうだ。アルコール抜きのね」「でも量をたくさん飲めば酔っ払うんだろ？」「いや、アルコールは入っていない」,ウルフ・オブ・ウォールストリート
「シラフってどんな感じだ？」「クソみたいな気分だよ」「つまらないんだろ？」「つまらなすぎて、自殺してしまいそうだ」,ウルフ・オブ・ウォールストリート
お許しください。また感じてしまいました・・・光の誘惑を,カイロレンとかいう馬鹿

人生が自分に何を与えてくれるか？ではなく人生が自分に何を求めているのか？を考えろ,V.E.フランクル
そもそも我々が人生の意味を問うてはいけません。我々は人生に問われている立場であり我々が人生の答えを出さなければならないのです。,V.E.フランクル
あらゆるものを奪われた人間に残されたたった一つのもの、それは与えられた運命に対して自分の態度を選ぶ自由、自分のあり方を決める自由である。,V.E.フランクル
人間は人生に絶望しても、人生は人間に絶望しない,V.E.フランクル
幸せは、目標ではないし目標であってもならない。そもそも目標であることもできません。幸せとは結果にすぎないのです。,V.E.フランクル
犀の角のようにただ独り歩め,仏教
孤独に歩め悪をなさず求めるところは少なく林の中の象のように,仏教
一切皆苦,仏教
生老病死,仏教
色即是空、空即是色,仏教
祇園精舎の鐘の声、諸行無常の響きあり。沙羅双樹の花の色、盛者必衰の理をあらはす。奢れる人も久からず、ただ春の夜の夢のごとし。猛き者も遂にはほろびぬ、偏ひとへに風の前の塵におなじ,平家物語
「斧を研いだほうがいいのでは？」「わかっちゃいるんだけどね、木を切るのに忙しくて、それどころじゃないよ」,木こりのジレンマ
